Pango lineage,WHO_label
B.1.1.7,Alpha
Q.1,Alpha
Q.2,Alpha
Q.3,Alpha
Q.4,Alpha
Q.5,Alpha
Q.6,Alpha
Q.7,Alpha
Q.8,Alpha
B.1.351,Beta
B.1.351.1,Beta
B.1.351.2,Beta
B.1.351.3,Beta
B.1.351.4,Beta
B.1.351.5,Beta
P.1,Gamma
P.1.1,Gamma
P.1.2,Gamma
P.1.3,Gamma
P.1.4,Gamma
P.1.5,Gamma
P.1.6,Gamma
P.1.7,Gamma
P.1.7.1,Gamma
P.1.8,Gamma
P.1.9,Gamma
P.1.10,Gamma
P.1.10.1,Gamma
P.1.10.2,Gamma
P.1.11,Gamma
P.1.12,Gamma
P.1.12.1,Gamma
P.1.13,Gamma
P.1.14,Gamma
P.1.15,Gamma
P.1.16,Gamma
P.1.17,Gamma
P.1.17.1,Gamma
B.1.617.2,Delta
AY.1,Delta
AY.2,Delta
AY.3,Delta
AY.3.1,Delta
AY.3.2,Delta
AY.3.3,Delta
AY.3.4,Delta
AY.4,Delta
AY.4.1,Delta
AY.4.2,Delta
AY.4.2.1,Delta
AY.4.2.2,Delta
AY.4.2.3,Delta
AY.4.2.4,Delta
AY.4.2.5,Delta
AY.4.3,Delta
AY.4.4,Delta
AY.4.5,Delta
AY.4.6,Delta
AY.4.7,Delta
AY.4.8,Delta
AY.4.9,Delta
AY.4.10,Delta
AY.4.11,Delta
AY.4.12,Delta
AY.4.13,Delta
AY.4.14,Delta
AY.4.15,Delta
AY.4.16,Delta
AY.4.17,Delta
AY.5,Delta
AY.5.1,Delta
AY.5.2,Delta
AY.5.3,Delta
AY.5.4,Delta
AY.5.5,Delta
AY.5.6,Delta
AY.5.7,Delta
AY.6,Delta
AY.7,Delta
AY.7.1,Delta
AY.7.2,Delta
AY.6,Delta
AY.9,Delta
AY.9.1,Delta
AY.9.2,Delta
AY.9.2.1,Delta
AY.9.2.2,Delta
AY.10,Delta
AY.11,Delta
AY.12,Delta
AY.13,Delta
AY.14,Delta
AY.15,Delta
AY.16,Delta
AY.16.1,Delta
AY.17,Delta
AY.18,Delta
AY.19,Delta
AY.20,Delta
AY.20.1,Delta
AY.21,Delta
AY.22,Delta
AY.23,Delta
AY.23.1,Delta
AY.23.2,Delta
AY.24,Delta
AY.24.1,Delta
AY.25,Delta
AY.25.1,Delta
AY.25.1.1,Delta
AY.25.1.2,Delta
AY.25.2,Delta
AY.25.3,Delta
AY.26,Delta
AY.26.1,Delta
AY.27,Delta
AY.28,Delta
AY.29,Delta
AY.29.1,Delta
AY.29.2,Delta
AY.30,Delta
AY.31,Delta
AY.32,Delta
AY.33,Delta
AY.33.1,Delta
AY.33.2,Delta
AY.34,Delta
AY.34.1,Delta
AY.34.1.1,Delta
AY.34.2,Delta
AY.35,Delta
AY.36,Delta
AY.36.1,Delta
AY.37,Delta
AY.38,Delta
AY.39,Delta
AY.39.1,Delta
AY.39.1.1,Delta
AY.39.1.2,Delta
AY.39.1.3,Delta
AY.39.1.4,Delta
AY.39.2,Delta
AY.39.3,Delta
AY.39.4,Delta
AY.40,Delta
AY.41,Delta
AY.42,Delta
AY.42.1,Delta
AY.43,Delta
AY.43.1,Delta
AY.43.2,Delta
AY.43.3,Delta
AY.43.4,Delta
AY.43.5,Delta
AY.43.6,Delta
AY.43.7,Delta
AY.43.8,Delta
AY.43.9,Delta
AY.44,Delta
AY.45,Delta
AY.46,Delta
AY.46.1,Delta
AY.46.2,Delta
AY.46.3,Delta
AY.46.4,Delta
AY.46.5,Delta
AY.46.6,Delta
AY.46.6.1,Delta
AY.47,Delta
AY.48,Delta
AY.49,Delta
AY.50,Delta
AY.51,Delta
AY.52,Delta
AY.53,Delta
AY.54,Delta
AY.55,Delta
AY.56,Delta
AY.57,Delta
AY.58,Delta
AY.59,Delta
AY.60,Delta
AY.61,Delta
AY.62,Delta
AY.63,Delta
AY.64,Delta
AY.65,Delta
AY.66,Delta
AY.67,Delta
AY.68,Delta
AY.69,Delta
AY.70,Delta
AY.71,Delta
AY.72,Delta
AY.73,Delta
AY.74,Delta
AY.75,Delta
AY.75.1,Delta
AY.75.2,Delta
AY.75.3,Delta
AY.76,Delta
AY.77,Delta
AY.78,Delta
AY.79,Delta
AY.80,Delta
AY.81,Delta
AY.82,Delta
AY.83,Delta
AY.84,Delta
AY.85,Delta
AY.86,Delta
AY.87,Delta
AY.88,Delta
AY.89,Delta
AY.90,Delta
AY.91,Delta
AY.91.1,Delta
AY.92,Delta
AY.93,Delta
AY.94,Delta
AY.95,Delta
AY.96,Delta
AY.97,Delta
AY.98,Delta
AY.98.1,Delta
AY.98.1.1,Delta
AY.99,Delta
AY.99.1,Delta
AY.99.2,Delta
AY.100,Delta
AY.101,Delta
AY.102,Delta
AY.102.1,Delta
AY.102.2,Delta
AY.103,Delta
AY.103.1,Delta
AY.103.2,Delta
AY.104,Delta
AY.105,Delta
AY.106,Delta
AY.107,Delta
AY.108,Delta
AY.109,Delta
AY.110,Delta
AY.111,Delta
AY.112,Delta
AY.112.1,Delta
AY.112.2,Delta
AY.112.3,Delta
AY.113,Delta
AY.114,Delta
AY.115,Delta
AY.116,Delta
AY.116.1,Delta
AY.117,Delta
AY.118,Delta
AY.119,Delta
AY.119.1,Delta
AY.119.2,Delta
AY.120,Delta
AY.120.1,Delta
AY.120.2,Delta
AY.120.2.1,Delta
AY.121,Delta
AY.121.1,Delta
AY.122,Delta
AY.122.1,Delta
AY.122.2,Delta
AY.122.3,Delta
AY.122.4,Delta
AY.122.5,Delta
AY.122.6,Delta
AY.123,Delta
AY.123.1,Delta
AY.124,Delta
AY.124.1,Delta
AY.124.1.1,Delta
AY.125,Delta
AY.125.1,Delta
AY.126,Delta
AY.127,Delta
AY.127.1,Delta
AY.127.2,Delta
AY.127.3,Delta
AY.128,Delta
AY.129,Delta
AY.130,Delta
AY.131,Delta
AY.132,Delta
AY.133,Delta
AY.134,Delta
B.1.427,Epsilon
B.1.429,Epsilon
B.1.429.1,Epsilon
B.1.1.529,Omicron
BA.1,Omicron
BA.1.1,Omicron
BA.1.1.1,Omicron
BA.1.1.2,Omicron
BA.1.1.3,Omicron
BA.1.1.4,Omicron
BA.1.1.5,Omicron
BA.1.1.6,Omicron
BA.1.1.7,Omicron
BA.1.1.8,Omicron
BA.1.1.10,Omicron
BA.1.1.11,Omicron
BA.1.1.12,Omicron
BA.1.1.13,Omicron
BA.1.1.14,Omicron
BA.1.1.15,Omicron
BA.1.1.16,Omicron
BA.1.1.17,Omicron
BA.1.1.18,Omicron
BA.1.2,Omicron
BA.1.3,Omicron
BA.1.4,Omicron
BA.1.5,Omicron
BA.1.6,Omicron
BA.1.7,Omicron
BA.1.8,Omicron
BA.1.9,Omicron
BA.1.10,Omicron
BA.1.11,Omicron
BA.1.12,Omicron
BA.1.13,Omicron
BA.1.13.1,Omicron
